"casual","temperature_2m_max...C.","Inne","Inne2","Inne4"
-0.891835516499056,-1.01133602046808,-0.875054240452657,-0.994570842062815,-0.769409212556791
-1.41124415163513,-1.6890200307732,-1.07998734616595,-1.08122918383894,-0.779666989662906
-1.03363253261929,-1.0012213337471,-0.849749426668304,-0.79336370216038,-0.684845006681896
-1.10298976876506,-1.4361528627489,-0.960842541404349,-0.984248924216791,-0.759197670935292
-1.18159463639693,-1.65867597061029,-1.10324352570754,-1.06867506594531,-0.776615602979851
-0.50189372216841,-1.33500599553918,-0.959170186920459,-0.950765923502736,-0.740063013572104
-1.0829532338785,-1.35523536898113,-0.940321358258288,-0.972381328280251,-0.762066622690329
-1.25557568828575,-1.41592348930696,-0.93562134534419,-0.984863180704711,-0.761475611618036
-0.808606833124136,-1.23385912832946,-0.970124108789936,-0.86350938423184,-0.699474825116385
-1.0829532338785,-1.1124828876778,-0.8995089407077,-0.860931915831549,-0.726044950057372
-1.35267581888982,-1.42603817602793,-0.991279393011138,-0.969289972099217,-0.7476717237063
-1.0613754270776,-1.06190945407294,-0.874106572911786,-0.609440053633726,-0.564258307294519
-0.756203588036223,-1.08213882751488,-0.813800773408361,-0.838296764989122,-0.72561375905194
-1.30797893337366,-0.970877273584188,-0.789185805848612,-0.846563131712172,-0.736465475773519
-0.856386262468997,-0.718010105559887,-0.446168480843662,-0.367936885174101,-0.453492004132485
-0.639066922545594,-0.677551358675999,-0.69762439785566,-0.688972217200325,-0.687616355121842
-1.26482331977185,-1.03156539391002,-0.854752553832606,-0.795346987814187,-0.709433203055091
-1.41895051120689,-1.39569411586501,-0.936091695042784,-1.05833708910614,-0.780129595949631
-1.02900871687624,-0.920303839979328,-0.783489348387864,-0.784434901969966,-0.715201900640331
-1.27098840742925,-1.29454724865529,-0.924928728862821,-0.96921770663005,-0.760629595430502
-1.0552103394202,-0.9304185267003,-0.7367679449942,-0.549399493000789,-0.575937892110343
-0.859468806297698,-0.718010105559887,-0.673653983586577,-0.699217854828894,-0.703733296653135
-1.31568529294541,-1.13271226111974,-0.895516194377414,-1.03165507199036,-0.777114764289041
-0.90878950755691,-0.798927599327663,-0.696673246242948,-0.49739645843854,-0.521136928995549
-0.992018190931831,-0.505601684419474,-0.696398004567475,-0.774899874788205,-0.727654495133113
-0.887211700756005,-1.26420318849238,-0.986502730516529,-0.830492094319083,-0.684077521302283
1.80076651787105,-0.222390456232257,-0.0535588772477035,0.0831481881147598,-0.146629636730091
-0.98739437518878,-0.576404491466278,-0.633534896332435,-0.623058079823424,-0.663461021094374
-0.768533763351026,-1.08213882751488,-0.841070603711285,-0.759888730942899,-0.683618893692897
2.04737002416712,-0.141472962464481,-0.078201717382184,0.121517137494163,-0.123617662161096
-1.14922792619557,-0.920303839979328,-0.877315403077749,-1.01867137603002,-0.776630134766043
-1.30797893337366,-0.363996070325866,-0.784088608744591,-0.896333966226818,-0.759779652332806
0.0406339916829227,0.0102473383500996,-0.0751670908082928,0.0197432684172689,-0.27096775554815
0.368924909439553,-0.556175118024334,-0.739610947616812,-0.858651538804501,-0.75326950086281
-1.10761358450811,-0.455028250814614,-0.454767170148327,-0.352415868296339,-0.457309715131319
-0.848679902897246,-0.0605554686967046,-0.557885244439324,-0.579606459112606,-0.619464991963527
-0.25529021587235,-0.222390456232257,-0.79519582977509,-0.94905564073245,-0.772159669243053
-1.27715349508665,-0.960762586863216,-0.823040531931851,-0.879166902551362,-0.7433706108061
-0.577416045971579,-0.667436671955027,-0.600516347491141,-0.375721482102704,-0.420157617438896
-0.856386262468997,-0.131358275743509,-0.840377273414839,-0.998003451848249,-0.771578220307933
-0.993559462846181,-0.758468852443775,-0.599293438274797,-0.52159736111292,-0.597834202660704
-0.862551350126399,-0.920303839979328,-0.847003978057252,-0.436524844910182,-0.402757892650114
-1.19546608362608,-1.1124828876778,-0.910553448445054,-1.06558772451257,-0.780993767625766
-0.488022274939257,-0.262849203116145,-0.345771466660827,-0.253645030938163,-0.452373137944172
0.310356576694239,-0.33365201016295,-0.302805892712231,-0.104063539258994,-0.28072918156327
-1.23708042531354,-1.2540885017714,-0.912013274546616,-1.07317158402682,-0.781624853888578
-0.494187362596659,-1.27431787521335,-0.897585733051227,-0.968470963448658,-0.760721312078006
1.25053244444797,-0.222390456232257,-0.495321766382648,-0.541839721976261,-0.64281523545475
-0.984311831360079,-1.06190945407294,-0.886966282078529,-1.01001557872312,-0.774458368563883
-0.796276657809333,-1.60810253700543,-1.17368797426955,-1.03549317135279,-0.759964209715091
-0.027181972548494,-1.16305632128266,-0.869079057244593,-0.924629912153995,-0.750521462443258
-1.01667854156144,-1.40580880258599,-0.972552506863417,-0.950380507667179,-0.746666700936119
-0.717671790177463,-1.24397381505043,-0.91408629729227,-0.78856206320906,-0.657113181911059
-1.15847555768167,-1.31477662209724,-0.908184279592877,-1.03855642429581,-0.776380365531016
0.307274032865538,-0.616863238350167,-0.664027493088688,-0.59336500149235,-0.605527426409452
-1.28948367040145,-1.02145070718905,-0.88633914914707,-1.00333503757346,-0.768656658310166
-0.50189372216841,-0.181931709348369,-0.328072381706329,-0.0401045842978894,-0.192090736140224
1.01163529772366,-0.283078576558089,-0.583900808879331,-0.456120831299307,-0.479587268756356
-1.24786932871399,-1.29454724865529,-1.01170999028932,-0.819262843360185,-0.66633744211356
-0.683763808061755,-0.616863238350167,-0.548419021246141,-0.279877396245793,-0.313358122141551
0.0406339916829227,-0.940533213421272,-0.793582704512505,-0.791982628749633,-0.69539699144707
-1.25249314445704,-1.31477662209724,-1.03119640409848,-0.827179926982261,-0.675060292832315
-1.06599924282065,-1.32489130881821,-0.990714973372826,-0.851786319233634,-0.678476105652743
-1.40353779206338,-1.79016689798292,-1.20561252455263,-1.13061861726631,-0.796013274580136
-1.35113454697547,-1.59798785028445,-0.954905682986541,-1.07479755708307,-0.779933620207101
-0.489563546853607,-0.920303839979328,-0.758386610770313,-0.510428331378327,-0.50229006755675
-1.43436323035039,-1.93177251207653,-1.22380286363677,-1.19924672448527,-0.808928963450172
-1.21550261851264,-1.13271226111974,-0.889213508416255,-1.03920681351831,-0.779110300229145
-1.50988555415356,-1.8710843917507,-1.25563682805198,-1.16186941793277,-0.800951804129397
-0.236794952900145,-0.637092611792111,-0.626476166781685,-0.427242746870507,-0.507361461264135
0.168559560574004,-1.03156539391002,-0.812867042154857,-0.795884964084652,-0.700877153576817
-1.47289502820915,-2.06326343944917,-1.05497519441628,-1.15336618106078,-0.790993086006383
-1.03054998879059,-0.87984509309544,-0.620737900458839,-0.536636608196235,-0.566988996314373
-1.41124415163513,-1.3653500557021,-0.903870998653179,-1.0127536370549,-0.772859236086085
-1.26482331977185,-1.57775847684251,-1.0263639964544,-1.04508039026228,-0.774268575301382
-1.31106147720236,-0.869730406374467,-0.850174483432959,-0.942744456425196,-0.765710573460994
-0.543508063855871,-0.758468852443775,-0.62614866402859,-0.441591457248448,-0.518091096191085
-1.13535647896642,-1.3653500557021,-0.945707733325148,-0.921434172517498,-0.740867445925667
-0.981229287531378,-0.38422544376781,-0.534507122383285,-0.503229887699634,-0.596208032925747
-0.545049335770221,-0.728124792280859,-0.60247787993787,-0.265881983717113,-0.340207937746028
-1.44052831800779,-1.03156539391002,-0.870155635443597,-0.981217789260063,-0.769630273194365
-1.08449450579285,-0.869730406374467,-0.783210622640549,-0.717484959535004,-0.65790329694245
-0.463361924309651,-0.616863238350167,-0.570396546421923,-0.341013983161097,-0.410861837183338
-1.04596270793409,0.11139420555982,-0.313881757096158,-0.35575613887117,-0.59280503617935
1.49251213500098,-0.444913564093642,-0.390012210903388,-0.171318602563773,-0.323389417847101
-1.2601995040288,0.354146686863149,-0.686527629040685,-0.824518148867943,-0.742619986735656
-1.35575836271852,0.131623579001764,-0.1425594924372,-0.126192831817252,-0.36126908842546
0.618610959564314,-0.455028250814614,-0.650254957099489,-0.730765746868588,-0.70078548130118
0.467566311957977,-0.00998203509184439,-0.00777817325122751,0.217116323705564,-0.0379424808947662
0.304191489036837,0.273229193095373,0.863305984472892,1.12204058760821,1.19042016172189
-0.403252319649986,-0.768583539164747,-0.643346042637921,-0.311096078925948,-0.344339446582863
0.498391750244985,0.21254107276954,0.781336226259415,0.900980517426275,0.666817216433009
-0.108869384009064,-0.637092611792111,-0.48348985840913,-0.103814624865197,-0.167894631762998
1.19350538361701,0.121508892280792,0.724556307459524,0.914911693982363,0.795174450150735
0.68180310805268,1.05206007061022,0.609484382680558,0.518270622214282,0.0890146577464605
-0.147401181867823,-0.728124792280859,-0.445478634619057,-0.311055931443078,-0.39745351706376
