"casual","registered","temperature_2m_max...C.","temperature_2m_min...C.","temperature_2m_mean...C.","apparent_temperature_max...C.","apparent_temperature_min...C.","apparent_temperature_mean...C.","daylight_duration..s.","sunshine_duration..s.","precipitation_sum..mm.","rain_sum..mm.","snowfall_sum..cm.","precipitation_hours..h.","wind_speed_10m_max..km.h.","wind_gusts_10m_max..km.h.","wind_direction_10m_dominant....","shortwave_radiation_sum..MJ.m..","et0_fao_evapotranspiration..mm.","Stosunki1","Stosunki2","Stosunki3","Stosunki4","Inne","Inne2","Inne3","Inne4"
-0.891835516499056,-1.98266652676677,-1.01133602046808,-0.689848499441361,-0.882988582630973,-0.935995716060854,-0.688346121700238,-0.831560438391779,-1.29300066215978,-1.85883021165288,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,-0.839614013587673,-0.694749875544593,0.830923409177882,-1.4209708905567,-1.17954996096392,0.220881533480676,-0.0239821516275573,-0.226732342216921,-0.612476308671731,-0.875054240452657,-0.994570842062815,-0.970822607624964,-0.769409212556791
-1.41124415163513,-1.22497514944991,-1.6890200307732,-1.35964902955207,-1.48699237995694,-1.52859870683684,-1.40167598559594,-1.51205025568248,-0.889450389028648,0.0676535395392291,-0.0647751964496826,-0.460301595125408,1.90045530913456,0.301140870981221,2.8654857511591,2.4341892686226,0.872745537120331,-0.26314005368808,-0.660205721772325,-1.22942920576298,-1.16525114914867,-1.28790130587153,1.2654595850322,-1.07998734616595,-1.08122918383894,-0.617591246105338,-0.779666989662906
-1.03363253261929,-0.49395608919636,-1.0012213337471,-0.841093780434101,-0.882988582630973,-1.07634905598148,-0.805835746341883,-0.929944508361519,-0.30606135413447,-0.14855331560287,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,0.245718240732088,0.12149511858598,0.945934261019616,-0.431526509530753,-0.497910647024953,-0.637895310773234,-0.567532192989413,-0.784108393198792,0.144684942715607,-0.849749426668304,-0.79336370216038,-0.599510054043237,-0.684845006681896
-1.10298976876506,-1.0708684286397,-1.4361528627489,-1.18679727984608,-1.24327154945699,-1.3180686969559,-1.08277557585433,-1.19230202828083,-1.28653620501321,0.12777949380388,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,-0.18467213598092,-0.0674504819072079,1.29096681654482,-0.537289903283175,-0.887418826418646,-0.893755802922399,-0.885423882359522,-1.07447394856554,1.65736802957997,-0.960842541404349,-0.984248924216791,-0.764553042894837,-0.759197670935292
-1.18159463639693,-1.64975649527292,-1.65867597061029,-1.65133635718092,-1.65653730552212,-1.59877537679716,-1.51077349419175,-1.56944096316483,-0.87097945046761,-0.185585396781021,-0.432731720694656,-0.460301595125408,0.131537861362219,-0.254391179316798,0.00245411476386602,-0.339532146617399,0.151313830113089,-0.377253189052536,-0.738107357651064,-1.19459391061008,-1.38482724833875,-1.40704119079404,1.31269296753628,-1.10324352570754,-1.06867506594531,-0.676160913223474,-0.776615602979851
-0.50189372216841,-1.24670814853853,-1.33500599553918,-1.06796170192321,-1.10551629743528,-1.3180686969559,-1.03242287957934,-1.11851397580352,-0.283521907272774,-0.904124900549671,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,-0.203384761055399,-0.369763442696309,1.02957851690451,-0.592954847363397,-0.588795888883482,-0.898740614437076,-0.761937970512864,-1.03473790971257,0.0175255303623127,-0.959170186920459,-0.950765923502736,-0.676591472036594,-0.740063013572104
-1.0829532338785,-0.992827204639662,-1.35523536898113,-1.21920698291595,-1.32804401223958,-1.27908165808906,-1.10795192399183,-1.21689804577326,-1.27958008074451,0.0470069187313816,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,-1.12030338970485,-1.13310366868879,0.559079577551965,-0.732117207563953,-1.04971390116602,-0.664212408171944,-1.02156427243652,-1.03766067897213,2.12279084481135,-0.940321358258288,-0.972381328280251,-0.850140845058522,-0.762066622690329
-1.25557568828575,-1.57418493026022,-1.41592348930696,-1.25161668598582,-1.3810268014787,-1.26348684254232,-1.14991250422098,-1.26609008075813,-0.852181724091258,-0.517918811253946,-0.475188242722922,-0.460301595125408,-0.0807322323704623,-0.624745879515477,-0.278235261353314,-0.150586546124211,0.412702129753394,-0.63887842622958,-0.95882865930749,-0.828074111013898,-1.09431981464647,-0.99790282236195,1.76759265002729,-0.93562134534419,-0.984863180704711,-0.806955112675851,-0.761475611618036
-0.808606833124136,-1.47391677537409,-1.23385912832946,-1.05715846756659,-1.1584990866744,-1.3180686969559,-1.06599134376267,-1.20869937327578,-0.260948296230386,0.2977827029206,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,1.05036111893467,0.58252238378936,1.0191229849189,-0.228349463637941,-0.368074587227056,-0.880436984277773,-0.838147210923908,-1.01723450744225,0.231817236719768,-0.970124108789936,-0.86350938423184,-0.4854506960786,-0.699474825116385
-1.0829532338785,-0.877247164032006,-1.1124828876778,-1.20840374855933,-1.23267499160916,-1.17771535703527,-1.12473615608349,-1.21689804577326,-1.27214268714779,0.135587646309617,-0.475188242722922,-0.460301595125408,-0.151488930281356,-0.624745879515477,0.526407616849268,0.393576783296172,0.642723833436863,-0.553989386507242,-0.790041781570223,-0.559554597850802,-0.87888198320338,-0.869961298777694,1.00299049790879,-0.8995089407077,-0.860931915831549,-0.734632622516402,-0.726044950057372
