"Date","mean_temp","mean_wind","mean_cloud","count"
0,0,0.904225920449663,0.889273087171726,0.148387096774194
0.16,0.104659446121408,0.843721215727305,0.663436800361756,0
0.2,0.223011024417065,0.733262689139295,0.569841734803874,0.193548387096774
0.24,0.320072273688298,0.858789893577683,0.655169582951983,0.258064516129032
0.28,0.439771336291586,0.939015341094418,0.357169244090265,0.429032258064516
0.32,0.502575534381025,0.865956122611289,0.580236176483359,0.345161290322581
0.36,0.616817574017864,0.488690493902638,0.593721365105482,0.641935483870968
0.4,0.761187774418486,0.352543700887253,0.166893896259605,0.741935483870968
0.44,0.859316591104574,0.227064433990143,0.221154419612497,0.874193548387097
0.48,0.932496504444897,0.107028902383924,0.0937525306691574,1
0.56,1,0,0.0641057343851827,0.848387096774194
0.68,0.931331464705069,0.177717030530781,0,0.864516129032258
0.76,0.724465344543762,0.564218979339834,0.178384115488906,0.716129032258065
0.8,0.583431705536473,0.78165168812424,0.238598369001086,0.487096774193548
0.84,0.454694578678482,0.819978536090226,0.681912898047296,0.574193548387097
0.88,0.353796784730893,0.805961276296176,0.546065047513165,0.512903225806452
0.92,0.22873975879668,1,0.732651597010149,0.258064516129032
0.96,0.0916947350434454,0.771646754955299,0.990675286595524,0.261290322580645
1,0.0533214108160621,0.943102343295312,1,0.251612903225806
