"Date","mean_temp","mean_wind","mean_cloud","count"
-1.76202452249892,-1.49989918141998,0.827733114139612,1.28265130879557,-1.19804198659683
-1.2409589049506,-1.17504687318906,0.637259319508749,0.565381701864033,-1.71081803766717
-1.11069250056352,-0.807695575079606,0.289526778624576,0.268118153867766,-1.04197971018412
-0.980426096176439,-0.506427299409962,0.684696758686447,0.53912452297712,-0.819033601023101
-0.85015969178936,-0.134893546645326,0.937253076159475,-0.407342446260061,-0.228226411746409
-0.719893287402281,0.0600443158413424,0.707256638012997,0.301131524761482,-0.51805635365573
-0.589626883015201,0.414640022663488,-0.480406638978101,0.343961293524581,0.507495748484945
-0.459360478628122,0.862750485483038,-0.909007958684736,-1.01166837578661,0.85306221768452
-0.329094074241043,1.16733238215642,-1.30402702741774,-0.839333695620811,1.3101017414646
-0.198827669853963,1.39447541267815,-1.68190876901924,-1.24396974457258,1.74484665432858
0.0617051389201954,1.60399941798669,-2.01884457038857,-1.33812974967078,1.2209232978002
0.452504352081433,1.39085924746145,-1.45937671857343,-1.54173341121703,1.27665982509045
0.713037160855592,0.748767786828075,-0.242636745050688,-0.975174749600256,0.763883774020114
0.843303565242671,0.311013672244123,0.441859333544816,-0.783930664965178,-0.0275749135014939
0.973569969629751,-0.0885733155020343,0.56251540817274,0.624062897484677,0.273402333865878
1.10383637401683,-0.401749836819178,0.518387919648484,0.192601967394635,0.0616035301629125
1.23410277840391,-0.789914164462344,1.12923780609606,0.785212051924709,-0.819033601023101
1.36436918279099,-1.21528802174566,0.410362979757766,1.60471078271839,-0.807886295565051
1.49463558717807,-1.33439492906962,0.950119295760763,1.63432663238034,-0.841328211939203
